NS	X7	X10	X12	X24	X26	X34	X35	X36	X40	X43	X63	X66	X69	X71	X79	X83	X91	X102	X106	X112	X115	X119	X121	X122	X123	X127	X132	X134	X136	X138	X139	X140	X141	X143	X146	X151	X152	X154	X155	X156	X159	X160	X162	X164	X169	X170	X171	X174	X176	X182	X183	X185	X188	X190	X192	X194	X195	X204	X209	X213	X219	X221	X224	X227	X231	X232	X233	X237	X239	X241	X246	X247	X249	X250	X252	X256	X257	X258	X261	X264	X269	X271	X272	X273	X275	X278	X282	X283	X285	X293
hsa-let-7a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.584962501	0	0	0	0	0	0	0	0	0	0	6.022367813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7b-5p	1.18728813	1.349680281	1.477888551	1.222938752	1.044922515	0.500008828	1.19254648	0.814392819	1.161760356	1.003047838	0.763477963	0.978749297	1.125541788	1.278990737	0.973039839	0.971583545	1.075078031	1.201025015	1.281044821	1.211569875	0.924796759	0.658206243	1.669000624	1.034536202	0.178486855	0.737491188	0.633150852	-0.159147215	0.318134974	2.122524695	1.123910089	1.395699853	0.711580724	0.325093956	1.511615673	1.004674546	0.256106815	1.047132949	1.068642614	1.130605664	0.822599585	0.910352576	1.364707234	0.205226993	-0.071654645	1.218199065	1.52623693	1.002912547	1.666673787	1.955456973	1.439886707	2.236140597	2.619156902	1.990048258	1.626597432	1.4536832	1.551251239	1.327321182	1.20315229	1.813494075	0.801965573	1.500336641	2.834664255	2.621531176	1.167443655	1.83672144	1.031663597	1.075696157	1.510807086	1.599518118	1.538596524	2.068284448	1.231800691	1.045892995	1.223207105	0.823933165	0.997567919	0.607078043	1.444063	0.888490725	0.947125641	0.573327462	0.6303102	1.263304554	1.695986406	0.842995746	1.358265108	0.915642296	1.059051556	1.305718513
hsa-let-7c-5p	2.664428178	2.271340805	2.139383302	1.941975866	2.337806797	2.218474925	2.057738001	1.927316566	2.396775703	1.756476452	1.414043179	2.116590485	2.160065494	2.414051834	1.799122768	1.798789108	1.690094937	2.00763318	1.990727454	2.026780304	1.942214359	2.097985186	1.74801705	1.680529598	1.316737828	0.384881141	1.587323018	1.986240565	2.15161573	1.449744074	1.41612195	2.231899019	1.887794109	1.466460392	2.110420617	1.573256966	1.81657839	2.038129611	1.694344498	1.456769722	1.756326584	2.046759302	1.639671913	1.831903945	1.683305412	2.002857633	1.91899847	2.134583413	1.733556733	1.742644113	2.433694476	2.85248405	2.869747345	2.291044246	1.976397863	2.302230384	2.086809419	2.332760786	1.847866857	2.240668917	1.980008756	2.411250592	2.541323721	2.69867809	2.157772219	1.549928761	1.845062913	1.827221302	2.14817231	1.956194415	2.195433024	2.066505828	2.237201575	1.842697855	2.022978759	1.993204315	2.009077142	2.222900794	2.227454589	2.16861326	2.192128948	1.854322755	1.930803572	2.132412253	2.338198598	1.890653512	1.607216745	2.159019593	1.870816518	1.622467643
hsa-let-7d-5p	2.129138734	1.863326816	1.632260364	2.11154458	2.485744449	1.776637684	2.078276643	1.667797497	1.241192624	2.0443657	2.004546327	1.875330427	1.912632874	1.686723798	2.125594947	2.429895742	2.238305239	2.116053696	1.685624331	2.217294125	1.752253758	1.459134752	1.691824781	1.987660287	1.150926542	0.831598389	1.913759332	2.227247568	2.257906808	1.837170211	1.410422331	1.251550673	1.977945643	1.835963064	1.839446149	1.769795537	1.478439561	2.676624531	1.900905234	1.85002681	2.024745759	1.764711798	2.011751305	1.104270752	1.673178854	1.843508304	1.502795635	2.148531446	1.052805515	2.20582065	2.058144625	2.031284935	2.468724279	2.650380677	1.856790538	1.810600603	2.120737552	2.441533407	1.944621306	1.087994674	1.964463822	2.130622733	2.470069437	2.931667045	1.577631307	1.822826233	2.231211619	1.702306314	1.865009692	1.964635552	2.172476549	2.311469696	1.732456343	1.817172835	2.632962071	2.141239441	2.372815289	1.998578272	1.950525875	1.954758988	2.394028902	1.446346734	1.372140633	1.497083661	2.5079865	2.443232729	1.086099254	1.625985159	1.877977619	1.53956154
hsa-let-7e-5p	2.886211081	2.519862166	3.016449578	3.171217328	2.639975324	2.831827546	2.830140283	2.833119899	2.929039621	2.693021059	2.507810466	2.519375454	2.155375763	2.679665124	2.299236537	1.619263957	2.34390717	2.369079288	1.722346777	1.188259245	1.771314602	1.568133592	2.171625776	2.084319302	2.887341758	3.089997266	2.487933255	2.696052341	2.564425671	2.398238078	3.147647674	3.076672344	2.041977403	3.053340764	2.246280348	2.265570663	2.79002636	2.742840239	2.209636965	1.838991174	2.405106842	1.890942684	2.963939341	4.206450589	3.150290721	3.7292491	2.720914726	2.896781008	2.246139432	2.592995915	1.879757243	2.429565373	2.368987327	1.886643252	2.286929612	2.07456924	2.28797022	2.194150725	2.30516772	2.233956883	2.538475415	2.414047054	2.185902456	2.631162653	2.58729229	1.854043405	2.934937999	2.310054837	2.407159623	2.921882279	3.135819682	2.394978729	2.707750979	2.543058184	2.769829381	2.181158308	2.325852868	2.713853854	2.838578666	2.233110515	2.599268089	2.688925345	2.42629828	2.595964569	2.610576671	2.57690265	1.92544925	1.994863503	1.781519736	2.109689544
hsa-let-7f-5p	-3.147338098	-3.339852023	-2.515911452	-2.69878893	-2.446477132	-3.030610703	-3.118312972	-3.728933393	-3.174453412	-3.072038051	-2.546686895	-3.200516622	-2.858331281	-2.452833802	-2.399196505	-3.178722305	-2.782601269	-3.230921694	-3.108024635	-2.175783172	-2.528383602	-2.568716071	-2.86698743	-2.461264131	-2.843947265	-3.062888653	-2.651395643	-2.892137962	-2.510410148	-2.827180501	-3.078913618	-2.425307007	-3.34727973	-2.846773823	-2.974231394	-3.294568908	-2.851372726	-3.319493565	-2.355991168	-2.712151408	-2.583803298	-2.369185035	-2.30601293	-4.244309247	-2.837256667	-2.777672827	-3.373134629	-2.865382207	-3.137530922	-3.165380335	-3.694874853	-2.633006904	-2.729927659	-3.753819169	-2.556998214	-3.559209379	-3.099553986	-3.21747556	-3.359249557	-3.050223303	-2.975174478	-3.188794689	-3.832380728	-2.899696091	-3.109534904	-3.007894546	-2.330605093	-3.582592479	-2.759681299	-2.901292469	-2.589728218	-3.008120132	-2.867338435	-2.456382549	-2.39851616	-2.968794091	-2.419271835	-3.430460569	-3.32010986	-3.092279233	-3.225641061	-2.945193084	-2.985875681	-4.14068238	-3.031438134	-2.2259829	-2.346823832	-2.893878273	-3.411091706	-2.795952495
hsa-let-7g-5p	0.235207076	0.724936147	0.723619871	-0.064799532	0.150194284	-0.230828767	-0.119432422	-0.60234541	0.420699384	-0.197368264	-0.037652881	0.216262994	1.155892133	0.418978833	0.30965803	-0.393122951	0.700759423	-0.120181078	0.33863842	0.778064667	0.361719557	0.217723352	0.541990942	0.418741411	0.981951876	1.416895453	0.633484869	0.773828033	0.458066965	0.187299981	0.900279654	0.721730673	0.445598844	1.437883135	0.725953943	0.170068409	0.159179225	0.858373819	0.506256335	0.746352692	0.231318941	1.022741688	1.071081068	0.654551688	0.298452675	0.77841745	1.145141216	0.158654776	0.134468348	0.04647529	0.146934249	0.448361252	1.116039926	0.592555715	0.924068786	-0.05924266	-0.54389083	0.123430864	0.514958739	-0.714388075	0.200852183	0.801574372	0.658944385	1.262507607	0.254651272	-0.971054683	0.481497819	-0.580880264	0.551889646	-0.031801907	-0.437996991	0.072418389	-0.012384911	-0.257882191	0.063946662	0.633726911	-0.146102027	-0.104085879	0.036795786	-0.509569989	-0.229581109	-0.339047212	0.028522598	0.128431171	0.264788228	0.070547753	-0.515909917	0.401904727	0.055160723	0.473090113
hsa-let-7i-5p	1.962740265	1.994497651	1.754614982	1.659771503	1.423188002	1.627833172	1.883348611	1.501027077	1.616957918	1.579284982	1.445303365	1.198033735	0.89668263	1.367722943	1.706778561	1.462671887	1.227417847	1.122191595	1.780391384	1.21325737	1.299160896	1.518799847	1.090727278	1.408393954	1.488615685	1.694245387	1.627721816	1.614475936	1.7195275	1.14302242	1.39911264	1.873889923	1.530620811	1.509332023	1.507899282	1.20869134	1.481942681	1.482339688	1.598989336	1.414614321	1.394534281	1.151694976	1.57565226	1.573201906	1.60116849	1.873930867	1.647809407	1.858168379	1.880924529	1.655945991	1.586663725	2.021900973	2.09373913	1.622312289	1.512055174	1.734925879	1.50955955	1.673860307	2.115751235	0.996718628	1.417192354	1.287641483	2.089446842	2.426614539	1.916688351	1.572549357	1.362974215	1.59069431	1.687427085	1.327696859	1.648450329	1.986825372	1.628874985	1.306777675	1.655988361	1.62776719	1.504492644	1.610673532	1.628071343	1.367002736	1.816600535	1.262037757	1.523960314	1.933890554	1.781317236	1.377186073	1.493684934	1.302693993	1.670962843	1.56072683
hsa-miR-1-3p	-0.956710663	-1.029776496	-0.587879395	-1.416510456	-0.847343336	-0.762102366	-0.921320801	-0.589018826	-0.863690599	-1.632489443	-1.141321416	-1.134743031	-1.386453865	-0.716024039	-0.77278034	-0.718420432	-0.916270795	-0.675331882	-1.310566154	-1.007111846	-1.381082643	-1.184762196	-1.602270281	-1.01185645	-1.03804044	-0.703100564	-1.019597918	-1.089908926	-0.955498819	-0.8485504	-1.536866057	-1.467561342	-0.912541397	-0.834826156	-1.061690011	-0.908004217	-1.536388619	-1.358866175	-0.582579195	-0.67305472	-0.770999677	-0.43396548	-0.869474285	-0.924235339	-1.618876176	-0.907971519	-1.434824489	-0.770519044	0.011520984	-0.463252127	-0.675491635	-0.559323024	-0.714927594	-0.598928947	-0.740502803	0.00335173	0.129661583	-0.723636115	0.004723499	-0.736072376	-0.828273548	-0.979881139	-0.758329322	-1.396084634	-1.019952524	-1.213029033	-0.854692496	-2.115514826	-1.319467208	-0.711929271	-1.412715867	-0.980944575	-1.485475376	-1.081970696	-1.807873481	-1.436334774	-0.152402766	-0.806675823	-0.759986648	-0.953199122	-0.905476615	-1.323698368	-0.302046747	-1.134990411	-0.779070036	-0.929227815	-0.453968659	-0.337574517	-0.503890467	-1.751696116
hsa-miR-1-5p	-2.761721698	-3.654870557	-2.356053183	-2.881374584	-3.893507701	-3.654338281	-3.62036162	-2.525859653	-2.023174806	-2.64794607	-3.30367067	-3.251324208	-1.961728429	-3.073792764	-3.264215762	-2.362023903	-2.242554482	-1.983617309	-1.817806431	-3.028987409	-2.27480878	-1.41729149	-1.915755262	-3.076557362	-3.261147131	-2.646406923	-3.130074312	-2.980665249	-4.158075299	-2.702598658	-2.184560159	-2.434443583	-2.902811066	-2.651756617	-3.404458048	-2.473274742	-2.447318806	-2.813378587	-2.247516174	-3.822407565	-3.910556497	-2.629096405	-2.565992223	-2.0032091	-1.94090311	-2.798914801	-2.5148562	-2.469445192	-1.812244784	-2.820399484	-2.540432977	-2.904993536	-2.441233596	-2.547264527	-2.346024993	-3.577411771	-2.65914352	-2.423429462	-3.607475666	-3.624750228	-2.441430087	-2.375727065	-2.827921448	-3.014022146	-2.824571025	-2.624828362	-1.927928645	-3.159192676	-3.357923969	-1.913136212	-2.310320777	-2.794798933	-1.292816296	-2.580825774	-3.096576651	-3.121952112	-2.000525327	-2.725418155	-2.625884313	-2.626479187	-2.519855026	-3.602271182	-2.292195587	-2.14121349	-2.526804878	-2.046220934	-1.059707273	-2.838539833	-2.55121899	-3.523104256
